DFT_ID,Alloy,SWS,error_type,message
DFT_0054,Hf3Ta87W10,2.973244,missing_output,kfcd output missing for DFT_0054_2.973244
DFT_0054,Hf3Ta87W10,3.157156,outlier_energy,"total energy -31324.748 Ry lies outside the ground-state cluster [-31328.756, -31328.752] Ry"
DFT_0055,Hf3Ta89W8,2.975572,missing_output,kfcd output missing for DFT_0055_2.975572
DFT_0055,Hf3Ta89W8,3.159628,outlier_energy,"total energy -31303.147 Ry lies outside the ground-state cluster [-31307.155, -31307.150] Ry"
DFT_0056,Hf3V15Nb40Ta40Mo2,2.982236,outlier_energy,"total energy -16905.998 Ry lies outside the ground-state cluster [-16910.007, -16909.998] Ry"
DFT_0057,Hf3V15Nb41Ta41,2.984985,outlier_energy,"total energy -17132.948 Ry lies outside the ground-state cluster [-17136.957, -17136.948] Ry"
DFT_0058,Hf4V19Nb38Ta39,2.941137,outlier_energy,"total energy -16655.231 Ry lies outside the ground-state cluster [-16660.581, -16660.577] Ry"
DFT_0058,Hf4V19Nb38Ta39,3.013907,outlier_energy,"total energy -16655.240 Ry lies outside the ground-state cluster [-16660.581, -16660.577] Ry"
DFT_0059,Hf7Nb23Ta23Mo23W24,3.080264,outlier_energy,"total energy -20672.454 Ry lies outside the ground-state cluster [-20681.809, -20681.802] Ry"
DFT_0059,Hf7Nb23Ta23Mo23W24,3.116574,outlier_energy,"total energy -20672.451 Ry lies outside the ground-state cluster [-20681.809, -20681.802] Ry"
DFT_0060,Hf7Nb30Ta31W32,3.103271,outlier_energy,"total energy -24431.307 Ry lies outside the ground-state cluster [-24440.659, -24440.651] Ry"
DFT_0060,Hf7Nb30Ta31W32,3.139852,outlier_energy,"total energy -24431.304 Ry lies outside the ground-state cluster [-24440.659, -24440.651] Ry"
DFT_0061,Hf7Nb31Ta31W31,3.104493,outlier_energy,"total energy -24184.391 Ry lies outside the ground-state cluster [-24193.743, -24193.735] Ry"
DFT_0061,Hf7Nb31Ta31W31,3.141088,outlier_energy,"total energy -24184.388 Ry lies outside the ground-state cluster [-24193.743, -24193.735] Ry"
DFT_0062,Hf7Nb32Ta30W31,2.980906,missing_output,kfcd output missing for DFT_0062_2.980906
DFT_0062,Hf7Nb32Ta30W31,2.904866,outlier_energy,"total energy -23948.248 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,2.940802,outlier_energy,"total energy -23948.260 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,2.958112,outlier_energy,"total energy -23948.264 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,2.976739,outlier_energy,"total energy -23948.268 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,3.017783,outlier_energy,"total energy -23948.274 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,3.048612,outlier_energy,"total energy -23948.276 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,3.05466,outlier_energy,"total energy -23948.277 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,3.104493,outlier_energy,"total energy -23948.276 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,3.128415,outlier_energy,"total energy -23948.275 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0062,Hf7Nb32Ta30W31,3.141088,outlier_energy,"total energy -23948.274 Ry lies outside the ground-state cluster [-23957.628, -23957.619] Ry"
DFT_0063,Hf8Nb30Ta31W31,3.106936,outlier_energy,"total energy -24408.603 Ry lies outside the ground-state cluster [-24419.291, -24419.284] Ry"
DFT_0063,Hf8Nb30Ta31W31,3.14356,outlier_energy,"total energy -24408.601 Ry lies outside the ground-state cluster [-24419.291, -24419.284] Ry"
DFT_0064,Hf8Nb31Ta30W31,3.106936,outlier_energy,"total energy -24172.488 Ry lies outside the ground-state cluster [-24183.176, -24183.169] Ry"
DFT_0064,Hf8Nb31Ta30W31,3.14356,outlier_energy,"total energy -24172.486 Ry lies outside the ground-state cluster [-24183.176, -24183.169] Ry"
DFT_0065,Hf8Nb31Ta31W30,2.944274,outlier_energy,"total energy -24157.215 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,2.961604,outlier_energy,"total energy -24161.676 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,2.980253,outlier_energy,"total energy -24161.679 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,2.988664,outlier_energy,"total energy -24161.681 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,3.016231,outlier_energy,"total energy -24161.685 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,3.025637,outlier_energy,"total energy -24161.686 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,3.06261,outlier_energy,"total energy -24161.688 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,3.088189,outlier_energy,"total energy -24161.688 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,3.108158,outlier_energy,"total energy -24161.688 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0065,Hf8Nb31Ta31W30,3.144796,outlier_energy,"total energy -24161.685 Ry lies outside the ground-state cluster [-24172.376, -24172.356] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,2.9585,outlier_energy,"total energy -21248.511 Ry lies outside the ground-state cluster [-21268.637, -21268.620] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,2.977129,outlier_energy,"total energy -21248.532 Ry lies outside the ground-state cluster [-21268.637, -21268.620] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.013071,outlier_energy,"total energy -21248.579 Ry lies outside the ground-state cluster [-21268.637, -21268.620] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.1049,outlier_energy,"total energy -21248.588 Ry lies outside the ground-state cluster [-21268.637, -21268.620] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.1415,outlier_energy,"total energy -21248.587 Ry lies outside the ground-state cluster [-21268.637, -21268.620] Ry"
DFT_0069,Hf20Nb20Ta20Mo20W20,2.956617,outlier_energy,"total energy -21877.164 Ry lies outside the ground-state cluster [-21904.184, -21904.168] Ry"
DFT_0069,Hf20Nb20Ta20Mo20W20,2.97402,outlier_energy,"total energy -21877.200 Ry lies outside the ground-state cluster [-21904.184, -21904.168] Ry"
DFT_0069,Hf20Nb20Ta20Mo20W20,3.101136,outlier_energy,"total energy -21877.451 Ry lies outside the ground-state cluster [-21904.184, -21904.168] Ry"
DFT_0069,Hf20Nb20Ta20Mo20W20,3.121188,outlier_energy,"total energy -21877.452 Ry lies outside the ground-state cluster [-21904.184, -21904.168] Ry"
DFT_0069,Hf20Nb20Ta20Mo20W20,3.15798,outlier_energy,"total energy -21877.451 Ry lies outside the ground-state cluster [-21904.184, -21904.168] Ry"
DFT_0071,Hf58Ta21Mo21,3.198879,outlier_energy,"total energy -25699.505 Ry lies outside the ground-state cluster [-25777.413, -25777.403] Ry"
DFT_0074,Zr1Ta89W9Re1,2.968297,missing_output,kfcd output missing for DFT_0074_2.968297
DFT_0075,Zr1Ta91W7Re1,2.970625,missing_output,kfcd output missing for DFT_0075_2.970625
DFT_0076,Zr1Ta91W8,2.971304,missing_output,kfcd output missing for DFT_0076_2.971304
DFT_0077,Zr1Ta91Mo1W7,2.97111,missing_output,kfcd output missing for DFT_0077_2.971110
DFT_0078,Zr1Ta91Mo2W4Re2,2.969558,missing_output,kfcd output missing for DFT_0078_2.969558
DFT_0079,Zr1Ta93W5Re1,2.972953,missing_output,kfcd output missing for DFT_0079_2.972953
DFT_0089,Zr1Hf1Ta90W7Re1,2.972953,missing_output,kfcd output missing for DFT_0089_2.972953
DFT_0089,Zr1Hf1Ta90W7Re1,3.156847,outlier_energy,"total energy -31097.448 Ry lies outside the ground-state cluster [-31098.786, -31098.781] Ry"
DFT_0090,Zr1Hf1Ta91Mo1W5Re1,2.973923,missing_output,kfcd output missing for DFT_0090_2.973923
DFT_0090,Zr1Hf1Ta91Mo1W5Re1,3.157877,outlier_energy,"total energy -30844.314 Ry lies outside the ground-state cluster [-30845.652, -30845.647] Ry"
DFT_0091,Zr1Hf1Ta91Mo1W6,2.974602,missing_output,kfcd output missing for DFT_0091_2.974602
DFT_0091,Zr1Hf1Ta91Mo1W6,3.158598,outlier_energy,"total energy -30833.275 Ry lies outside the ground-state cluster [-30834.613, -30834.608] Ry"
DFT_0110,Ti10Hf10V10Nb45Ta25,2.97499,outlier_energy,"total energy -14618.379 Ry lies outside the ground-state cluster [-14631.741, -14631.737] Ry"
DFT_0113,Ti11Hf11V8Nb35Ta35,3.018864,outlier_energy,"total energy -17259.260 Ry lies outside the ground-state cluster [-17273.952, -17273.945] Ry"
DFT_0114,Ti13Hf15Nb43Ta27Re2,3.006612,outlier_energy,"total energy -17123.812 Ry lies outside the ground-state cluster [-17143.857, -17143.852] Ry"
DFT_0118,Ti15Hf15Nb45Ta25,3.00991,outlier_energy,"total energy -16017.011 Ry lies outside the ground-state cluster [-16037.052, -16037.045] Ry"
DFT_0118,Ti15Hf15Nb45Ta25,3.047146,outlier_energy,"total energy -16017.019 Ry lies outside the ground-state cluster [-16037.052, -16037.045] Ry"
DFT_0118,Ti15Hf15Nb45Ta25,3.065429,outlier_energy,"total energy -16017.021 Ry lies outside the ground-state cluster [-16037.052, -16037.045] Ry"
DFT_0118,Ti15Hf15Nb45Ta25,3.084382,outlier_energy,"total energy -16017.023 Ry lies outside the ground-state cluster [-16037.052, -16037.045] Ry"
DFT_0118,Ti15Hf15Nb45Ta25,3.102888,outlier_energy,"total energy -16017.024 Ry lies outside the ground-state cluster [-16037.052, -16037.045] Ry"
DFT_0123,Ti16Zr17Hf17Nb17Ta17Mo16,3.038816,outlier_energy,"total energy -14515.274 Ry lies outside the ground-state cluster [-14537.983, -14537.976] Ry"
DFT_0123,Ti16Zr17Hf17Nb17Ta17Mo16,3.07641,outlier_energy,"total energy -14516.964 Ry lies outside the ground-state cluster [-14537.983, -14537.976] Ry"
DFT_0130,Ti20Hf20Nb20Ta20Mo20,2.99342,outlier_energy,"total energy -15752.395 Ry lies outside the ground-state cluster [-15779.202, -15779.196] Ry"
DFT_0131,Ti20Zr20Hf20Ta20Mo20,3.04774,outlier_energy,"total energy -15663.970 Ry lies outside the ground-state cluster [-15690.693, -15690.686] Ry"
DFT_0131,Ti20Zr20Hf20Ta20Mo20,3.123148,outlier_energy,"total energy -15663.987 Ry lies outside the ground-state cluster [-15690.693, -15690.686] Ry"
