DFT_ID,Alloy,SWS,error_type,message
DFT_0043,Hf1Ta90W7Re2,3.084564,outlier_energy,"total energy -31359.778 Ry lies outside the ground-state cluster [-31361.166, -31361.162] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.478 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.477 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0066,Hf10Nb44Ta44W2,3.102621,outlier_energy,"total energy -20765.479 Ry lies outside the ground-state cluster [-20779.332, -20779.330] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.046856,outlier_energy,"total energy -21248.586 Ry lies outside the ground-state cluster [-21268.637, -21268.636] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.046856,outlier_energy,"total energy -21248.585 Ry lies outside the ground-state cluster [-21268.637, -21268.636] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.046856,outlier_energy,"total energy -21248.584 Ry lies outside the ground-state cluster [-21268.637, -21268.636] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.046856,outlier_energy,"total energy -21248.582 Ry lies outside the ground-state cluster [-21268.637, -21268.636] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.046856,outlier_energy,"total energy -21248.586 Ry lies outside the ground-state cluster [-21268.637, -21268.636] Ry"
DFT_0067,Hf15Nb21Ta21Mo22W21,3.046856,outlier_energy,"total energy -21248.584 Ry lies outside the ground-state cluster [-21268.637, -21268.636] Ry"
