DFT_ID,Alloy,SWS,error_type,message
DFT_0004,Ta50W50,3.003382,missing_output,kfcd output missing for DFT_0004_3.003382
DFT_0004,Ta50W50,3.012446,missing_output,kfcd output missing for DFT_0004_3.012446
DFT_0005,Ta60W40,2.998456,missing_output,kfcd output missing for DFT_0005_2.998456
DFT_0005,Ta60W40,3.00756,missing_output,kfcd output missing for DFT_0005_3.007560
DFT_0005,Ta60W40,3.016665,missing_output,kfcd output missing for DFT_0005_3.016665
DFT_0005,Ta60W40,3.025769,missing_output,kfcd output missing for DFT_0005_3.025769
DFT_0005,Ta60W40,3.034874,missing_output,kfcd output missing for DFT_0005_3.034874
DFT_0005,Ta60W40,3.080397,missing_output,kfcd output missing for DFT_0005_3.080397
DFT_0010,Nb5Ta45Mo5W45,3.046895,outlier_energy,"total energy -29400.727 Ry lies outside the ground-state cluster [-29400.248, -29400.246] Ry"
DFT_0016,Nb29Ta14Mo29W28,3.002764,outlier_energy,"total energy -17995.915 Ry lies outside the ground-state cluster [-17993.094, -17993.092] Ry"
DFT_0028,V11Nb45Ta44,3.026765,missing_output,kfcd output missing for DFT_0028_3.026765
DFT_0028,V11Nb45Ta44,3.035955,missing_output,kfcd output missing for DFT_0028_3.035955
DFT_0028,V11Nb45Ta44,3.054336,missing_output,kfcd output missing for DFT_0028_3.054336
DFT_0028,V11Nb45Ta44,3.045146,outlier_energy,"total energy -17398.043 Ry lies outside the ground-state cluster [-17398.350, -17398.349] Ry"
DFT_0029,V18Nb41Ta41,3.093222,missing_output,kfcd output missing for DFT_0029_3.093222
DFT_0034,V33Nb34Ta33,3.028103,outlier_energy,"total energy -13541.096 Ry lies outside the ground-state cluster [-13537.770, -13537.769] Ry"
DFT_0035,Hf1Ta81W16Re2,3.041481,outlier_energy,"total energy -31456.987 Ry lies outside the ground-state cluster [-31458.374, -31458.372] Ry"
DFT_0035,Hf1Ta81W16Re2,3.050688,outlier_energy,"total energy -31456.988 Ry lies outside the ground-state cluster [-31458.374, -31458.372] Ry"
DFT_0035,Hf1Ta81W16Re2,3.087518,outlier_energy,"total energy -31456.989 Ry lies outside the ground-state cluster [-31458.374, -31458.372] Ry"
DFT_0036,Hf1Ta82W15Re2,3.043727,outlier_energy,"total energy -31446.187 Ry lies outside the ground-state cluster [-31447.573, -31447.571] Ry"
DFT_0036,Hf1Ta82W15Re2,3.089797,outlier_energy,"total energy -31446.188 Ry lies outside the ground-state cluster [-31447.573, -31447.571] Ry"
